episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,4,autumn,1000,4129,-62.38319934502371
1,ODT,1234,4,autumn,1000,4129,-62.38219036234385
2,ODT,1234,4,autumn,1000,4129,-62.457693353987565
3,ODT,1234,4,autumn,1000,4129,-62.55782064402463
4,ODT,1234,4,autumn,1000,4129,-62.66781420391561
5,ODT,1234,4,autumn,1000,4129,-62.779312553142724
6,ODT,1234,4,autumn,1000,4129,-62.85932404778108
7,ODT,1234,4,autumn,1000,4129,-62.95098204443398
8,ODT,1234,4,autumn,1000,4129,-63.02127744229611
9,ODT,1234,4,autumn,1000,4129,-63.125740002109794
10,ODT,1234,4,autumn,1000,4129,-63.23251967802094
11,ODT,1234,4,autumn,1000,4129,-63.34214182618026
12,ODT,1234,4,autumn,1000,4129,-63.51134077672009
13,ODT,1234,4,autumn,1000,4129,-63.654725585951844
14,ODT,1234,4,autumn,1000,4129,-63.79599360602002
15,ODT,1234,4,autumn,1000,4129,-63.995623639905645
16,ODT,1234,4,autumn,1000,4129,-64.21384793676326
17,ODT,1234,4,autumn,1000,4129,-64.47590733257974
18,ODT,1234,4,autumn,1000,4129,-64.78897193299524
19,ODT,1234,4,autumn,1000,4129,-65.10783383521144
20,ODT,1234,4,autumn,1000,4129,-65.37350529510513
21,ODT,1234,4,autumn,1000,4129,-65.63679949880235
22,ODT,1234,4,autumn,1000,4129,-65.84369246006585
23,ODT,1234,4,autumn,1000,4129,-66.06395181457692
24,ODT,1234,4,autumn,1000,4129,-66.10705843385786
25,ODT,1234,4,autumn,1000,4129,-66.1660774501226
26,ODT,1234,4,autumn,1000,4129,-66.22137825582004
27,ODT,1234,4,autumn,1000,4129,-66.2991415443969
28,ODT,1234,4,autumn,1000,4129,-66.35372887710352
29,ODT,1234,4,autumn,1000,4129,-66.36302279603937
30,ODT,1234,4,autumn,1000,4129,-66.37257946317276
31,ODT,1234,4,autumn,1000,4129,-66.404785914095
32,ODT,1234,4,autumn,1000,4129,-66.44997731367606
33,ODT,1234,4,autumn,1000,4129,-66.5001670969192
34,ODT,1234,4,autumn,1000,4129,-66.53326345631896
35,ODT,1234,4,autumn,1000,4129,-66.55074331200537
36,ODT,1234,4,autumn,1000,4129,-66.57371618462443
37,ODT,1234,4,autumn,1000,4129,-66.61523510022668
38,ODT,1234,4,autumn,1000,4129,-66.64808733308568
39,ODT,1234,4,autumn,1000,4129,-66.66066170956978
40,ODT,1234,4,autumn,1000,4129,-66.66641825552716
41,ODT,1234,4,autumn,1000,4129,-66.65420473658378
42,ODT,1234,4,autumn,1000,4129,-66.63049621478605
43,ODT,1234,4,autumn,1000,4129,-66.6192792915505
44,ODT,1234,4,autumn,1000,4129,-66.59164333227203
45,ODT,1234,4,autumn,1000,4129,-66.55462542148733
46,ODT,1234,4,autumn,1000,4129,-66.50355417954488
47,ODT,1234,4,autumn,1000,4129,-66.46507835557246
48,ODT,1234,4,autumn,1000,4129,-66.43328586589791
49,ODT,1234,4,autumn,1000,4129,-66.3929180451792
50,ODT,1234,4,autumn,1000,4129,-66.36399078513129
51,ODT,1234,4,autumn,1000,4129,-66.36966482979093
52,ODT,1234,4,autumn,1000,4129,-66.3613011540425
53,ODT,1234,4,autumn,1000,4129,-66.35770898637173
54,ODT,1234,4,autumn,1000,4129,-66.33602695691354
55,ODT,1234,4,autumn,1000,4129,-66.34199591362598
56,ODT,1234,4,autumn,1000,4129,-66.35184475480119
57,ODT,1234,4,autumn,1000,4129,-66.35748107156759
58,ODT,1234,4,autumn,1000,4129,-66.38446943698949
59,ODT,1234,4,autumn,1000,4129,-66.4097490516511
60,ODT,1234,4,autumn,1000,4129,-66.42629175514563
61,ODT,1234,4,autumn,1000,4129,-66.4341940264779
62,ODT,1234,4,autumn,1000,4129,-66.43810725825269
63,ODT,1234,4,autumn,1000,4129,-66.46145066990239
64,ODT,1234,4,autumn,1000,4129,-66.437832924165
65,ODT,1234,4,autumn,1000,4129,-66.39597867707553
66,ODT,1234,4,autumn,1000,4129,-66.35153430443853
67,ODT,1234,4,autumn,1000,4129,-66.33785612814945
68,ODT,1234,4,autumn,1000,4129,-66.28846286830333
69,ODT,1234,4,autumn,1000,4129,-66.23678124325602
70,ODT,1234,4,autumn,1000,4129,-66.19054429151724
71,ODT,1234,4,autumn,1000,4129,-66.13153419038565
72,ODT,1234,4,autumn,1000,4129,-66.07371865499259
73,ODT,1234,4,autumn,1000,4129,-66.01098746234682
74,ODT,1234,4,autumn,1000,4129,-65.96363566786299
75,ODT,1234,4,autumn,1000,4129,-65.92072275356102
76,ODT,1234,4,autumn,1000,4129,-65.87884498241534
77,ODT,1234,4,autumn,1000,4129,-65.82821097361007
78,ODT,1234,4,autumn,1000,4129,-65.77289428820065
79,ODT,1234,4,autumn,1000,4129,-65.71886872963945
80,ODT,1234,4,autumn,1000,4129,-65.68142909622328
81,ODT,1234,4,autumn,1000,4129,-65.63894842017149
82,ODT,1234,4,autumn,1000,4129,-65.58863268345573
83,ODT,1234,4,autumn,1000,4129,-65.53953133072295
84,ODT,1234,4,autumn,1000,4129,-65.48849330237458
85,ODT,1234,4,autumn,1000,4129,-65.43282697756977
86,ODT,1234,4,autumn,1000,4129,-65.37823541895641
87,ODT,1234,4,autumn,1000,4129,-65.319574670937
88,ODT,1234,4,autumn,1000,4129,-65.27885782775527
89,ODT,1234,4,autumn,1000,4129,-65.2335995127984
90,ODT,1234,4,autumn,1000,4129,-65.18642278337096
91,ODT,1234,4,autumn,1000,4129,-65.14841015774066
92,ODT,1234,4,autumn,1000,4129,-65.09791248988863
93,ODT,1234,4,autumn,1000,4129,-65.05406020856347
94,ODT,1234,4,autumn,1000,4129,-65.02105101842929
95,ODT,1234,4,autumn,1000,4129,-64.9812347890725
96,ODT,1234,4,autumn,1000,4129,-64.93704118228993
97,ODT,1234,4,autumn,1000,4129,-64.90152415750586
98,ODT,1234,4,autumn,1000,4129,-64.85939205340469
99,ODT,1234,4,autumn,1000,4129,-64.8251061664747
100,ODT,1234,4,autumn,1000,4129,-64.77693513512564
101,ODT,1234,4,autumn,1000,4129,-64.74185239538711
102,ODT,1234,4,autumn,1000,4129,-64.7076101473674
103,ODT,1234,4,autumn,1000,4129,-64.67382489494175
104,ODT,1234,4,autumn,1000,4129,-64.63844494734816
105,ODT,1234,4,autumn,1000,4129,-64.59411974466792
106,ODT,1234,4,autumn,1000,4129,-64.55310361437829
107,ODT,1234,4,autumn,1000,4129,-64.50852780559478
108,ODT,1234,4,autumn,1000,4129,-64.46687203665279
109,ODT,1234,4,autumn,1000,4129,-64.42595655281363
110,ODT,1234,4,autumn,1000,4129,-64.39486102454819
111,ODT,1234,4,autumn,1000,4129,-64.35961903808035
112,ODT,1234,4,autumn,1000,4129,-64.31845390036635
113,ODT,1234,4,autumn,1000,4129,-64.27579305920173
114,ODT,1234,4,autumn,1000,4129,-64.24236928890589
115,ODT,1234,4,autumn,1000,4129,-64.2097072258741
116,ODT,1234,4,autumn,1000,4129,-64.1712409209534
117,ODT,1234,4,autumn,1000,4129,-64.13549251214567
118,ODT,1234,4,autumn,1000,4129,-64.09845762926359
119,ODT,1234,4,autumn,1000,4129,-64.06185611721065
120,ODT,1234,4,autumn,1000,4129,-64.02796247442888
121,ODT,1234,4,autumn,1000,4129,-63.99457784754003
122,ODT,1234,4,autumn,1000,4129,-63.959803049539865
123,ODT,1234,4,autumn,1000,4129,-63.94138005835526
124,ODT,1234,4,autumn,1000,4129,-63.92534857928801
125,ODT,1234,4,autumn,1000,4129,-63.907462933968404
126,ODT,1234,4,autumn,1000,4129,-63.87446402210957
127,ODT,1234,4,autumn,1000,4129,-63.84961216221679
128,ODT,1234,4,autumn,1000,4129,-63.82142961147139
129,ODT,1234,4,autumn,1000,4129,-63.797340048962596
130,ODT,1234,4,autumn,1000,4129,-63.77374399636345
131,ODT,1234,4,autumn,1000,4129,-63.7524263608003
132,ODT,1234,4,autumn,1000,4129,-63.727579815974906
133,ODT,1234,4,autumn,1000,4129,-63.69759021442176
134,ODT,1234,4,autumn,1000,4129,-63.675168886259534
135,ODT,1234,4,autumn,1000,4129,-63.651381264770045
136,ODT,1234,4,autumn,1000,4129,-63.62600759094694
137,ODT,1234,4,autumn,1000,4129,-63.60631490367856
138,ODT,1234,4,autumn,1000,4129,-63.58708155042173
